Source,2017,2018
trigger,0.03,0.027
puA,0.041,0.016
puC,0.072,0.042
l1,0.0079,0
intlumi,0.023,0.025
vtxreco,0.181,0.107
tauveto,0.005,0.005
qcdscale,0.09,0.09
pdf,0.02,0.02
jesA,0.031,0.028
jesC,0.024,0.039
jerA,0.01,0.009
jerC,0.007,0.019
uncEnA,0.007,0.029
uncEnC,0.008,0.021
